a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,BRA,1,4,4,4,3,-2,-1,5,5,-1,1,75,1
2,2018,BRA,1,4,3,4,1,3,3,5,5,6,1,18,1
2,2018,BRA,1,3,3,2,2,3,-1,4,1,5,1,56,1
2,2018,BRA,1,4,4,3,3,4,4,5,1,5,2,51,1
2,2018,BRA,1,4,2,3,1,3,3,5,5,5,2,21,1
2,2018,BRA,1,3,2,2,1,2,2,1,1,5,2,63,2
2,2018,BRA,1,3,1,3,1,3,-1,5,1,-1,2,41,1
2,2018,BRA,1,4,3,3,3,3,3,2,1,5,2,62,1
2,2018,BRA,1,4,2,3,1,2,1,5,1,5,1,57,1
2,2018,BRA,2,4,2,3,2,3,2,5,5,6,2,28,1
2,2018,BRA,1,4,3,3,3,3,3,5,5,-2,2,38,1
2,2018,BRA,1,4,3,3,2,3,2,5,5,5,2,43,1
2,2018,BRA,1,3,1,3,1,2,2,5,5,5,2,33,1
2,2018,BRA,1,4,3,3,1,2,2,5,5,5,2,49,1
2,2018,BRA,1,3,2,2,2,1,2,5,1,4,1,29,1
2,2018,BRA,1,2,2,1,1,2,1,1,1,-1,2,53,1
2,2018,BRA,1,4,3,3,1,3,3,-1,1,-1,1,50,1
2,2018,BRA,1,4,3,3,1,3,3,5,1,5,1,44,1
2,2018,BRA,1,4,4,3,3,3,1,4,5,1,2,24,1
2,2018,BRA,1,4,3,2,2,2,2,5,5,6,1,39,1
2,2018,BRA,2,4,4,4,3,4,4,5,1,5,2,38,1
2,2018,BRA,1,4,1,3,3,2,1,1,2,9,2,18,1
2,2018,BRA,1,4,3,3,2,4,3,3,5,5,1,52,1
2,2018,BRA,1,3,3,4,3,3,1,5,1,5,1,51,1
2,2018,BRA,1,3,1,1,1,3,1,5,5,1,2,37,1
2,2018,BRA,1,4,3,2,1,-1,1,5,4,-2,1,76,1
2,2018,BRA,1,3,1,1,1,1,1,5,5,-1,1,46,1
2,2018,BRA,1,4,3,3,1,3,3,5,5,-1,1,19,1
2,2018,BRA,1,4,4,4,1,1,-2,1,1,-1,1,70,1
2,2018,BRA,1,4,4,3,2,3,3,1,1,-1,1,73,1
2,2018,BRA,1,4,3,3,1,3,3,5,5,5,2,61,1
2,2018,BRA,2,4,2,3,1,4,4,1,1,10,2,34,1
2,2018,BRA,1,3,1,3,1,3,3,1,1,5,1,33,1
2,2018,BRA,1,2,1,2,3,2,2,4,2,8,1,28,1
2,2018,BRA,1,3,1,4,1,-1,1,5,5,10,2,38,1
2,2018,BRA,1,4,3,3,2,3,3,5,5,-2,1,45,1
2,2018,BRA,1,3,1,3,1,3,1,1,1,-1,2,58,1
2,2018,BRA,1,3,1,3,3,3,3,5,2,5,2,38,1
2,2018,BRA,1,-1,-1,1,4,-1,-1,5,5,6,2,25,1
2,2018,BRA,1,4,1,3,1,2,2,1,1,-1,2,36,1
2,2018,BRA,1,4,3,3,2,2,2,5,5,1,1,63,1
2,2018,BRA,1,3,1,4,1,2,1,3,5,5,1,17,1
2,2018,BRA,1,4,3,3,2,2,3,5,1,-2,1,57,1
2,2018,BRA,1,2,1,1,1,1,1,5,5,10,1,54,1
2,2018,BRA,1,3,3,3,2,2,2,5,5,-1,1,41,1
2,2018,BRA,1,4,4,2,2,2,4,1,1,-1,2,80,1
2,2018,BRA,1,4,1,3,1,-1,-1,-2,-2,-2,1,41,1
2,2018,BRA,2,3,3,3,3,3,3,5,1,-2,2,24,1
2,2018,BRA,1,1,1,4,2,1,1,5,5,4,2,27,1
2,2018,BRA,1,3,1,1,1,1,1,5,5,-2,1,28,1
2,2018,BRA,1,4,3,2,1,2,2,5,5,-1,1,24,1
2,2018,BRA,1,4,4,3,2,2,2,5,5,-2,1,49,1
2,2018,BRA,1,3,1,2,1,1,1,5,5,5,2,37,1
2,2018,BRA,1,4,4,4,2,-1,-1,3,5,-1,1,66,1
2,2018,BRA,1,4,4,4,1,4,4,3,1,5,2,62,1
2,2018,BRA,1,3,3,3,3,3,3,-1,-1,6,1,61,1
2,2018,BRA,1,4,2,2,3,3,2,5,5,10,1,40,1
2,2018,BRA,1,3,1,1,1,1,1,1,1,8,2,49,1
2,2018,BRA,1,3,2,3,1,-5,-1,5,5,-1,2,20,1
2,2018,BRA,1,2,1,4,3,3,3,5,5,10,1,25,1
2,2018,BRA,1,4,4,3,2,3,3,1,1,5,2,73,1
2,2018,BRA,1,4,3,3,2,2,2,1,1,-1,2,63,1
2,2018,BRA,-2,4,-2,3,-2,-5,-2,5,1,-2,2,52,1
2,2018,BRA,1,4,3,3,1,1,3,1,1,5,2,72,1
2,2018,BRA,1,3,3,3,2,2,2,1,1,-1,1,28,1
2,2018,BRA,1,3,1,3,1,3,1,5,5,-1,2,57,1
2,2018,BRA,1,4,1,2,2,3,-1,5,5,-1,1,46,1
2,2018,BRA,1,4,4,4,1,2,-1,1,1,-1,2,66,1
2,2018,BRA,1,4,4,1,1,2,1,1,1,5,2,57,1
2,2018,BRA,1,4,3,3,3,3,3,5,5,5,1,32,1
2,2018,BRA,1,4,3,4,3,3,3,5,5,7,2,40,1
2,2018,BRA,1,3,2,3,3,3,2,5,5,1,2,36,1
2,2018,BRA,1,4,3,3,2,2,1,1,1,-2,2,61,1
2,2018,BRA,1,4,2,1,1,1,1,1,1,-2,1,59,1
2,2018,BRA,1,3,3,3,3,3,3,5,5,10,1,39,1
2,2018,BRA,1,3,1,3,1,2,2,5,5,3,1,28,1
2,2018,BRA,1,4,4,3,3,3,3,1,1,-2,2,80,1
2,2018,BRA,1,4,3,3,1,1,1,1,1,-1,1,44,1
2,2018,BRA,1,1,2,4,1,1,1,5,5,10,1,64,1
2,2018,BRA,1,2,2,1,1,2,2,5,5,-2,2,45,1
2,2018,BRA,1,2,3,2,1,3,1,5,5,10,2,53,1
2,2018,BRA,1,3,1,1,1,1,1,1,-1,6,2,41,1
2,2018,BRA,1,4,3,3,2,-1,3,5,5,-1,1,40,1
2,2018,BRA,1,2,3,3,2,3,2,5,5,5,2,19,1
2,2018,BRA,1,4,3,4,1,1,1,5,5,1,2,22,1
2,2018,BRA,1,3,1,3,1,3,1,5,5,5,2,29,1
2,2018,BRA,1,3,3,3,3,3,3,4,4,-2,1,54,1
2,2018,BRA,1,4,1,2,1,2,1,4,1,-1,1,31,1
2,2018,BRA,-2,4,3,3,-1,-5,-1,3,4,-2,2,55,1
2,2018,BRA,1,4,3,3,1,3,3,5,1,5,1,56,1
2,2018,BRA,1,3,3,3,1,3,3,1,1,-1,2,72,1
2,2018,BRA,1,2,1,1,1,1,4,5,1,-1,1,60,1
2,2018,BRA,1,4,3,2,1,3,3,5,5,5,2,30,1
2,2018,BRA,1,4,3,1,3,-2,4,5,5,5,2,38,1
2,2018,BRA,1,4,3,2,1,3,2,2,2,-2,1,58,1
2,2018,BRA,1,4,2,3,1,-1,-1,5,5,3,2,20,1
2,2018,BRA,1,4,3,3,1,1,1,5,5,-1,1,26,1
2,2018,BRA,1,2,3,1,1,2,1,1,1,4,1,46,1
2,2018,BRA,1,4,3,3,1,3,3,5,5,10,2,58,1
2,2018,BRA,1,4,3,2,2,4,3,5,5,5,2,48,1
2,2018,BRA,1,4,1,3,3,3,1,5,5,-2,2,43,1
2,2018,BRA,1,2,2,2,2,2,2,5,5,1,2,53,1
2,2018,BRA,1,3,1,1,1,1,1,5,5,-1,1,30,1
2,2018,BRA,2,4,4,3,3,4,-1,5,5,5,2,67,1
2,2018,BRA,1,4,2,2,1,2,3,5,5,-1,2,47,1
2,2018,BRA,-1,4,3,4,3,3,3,5,5,10,1,37,1
2,2018,BRA,1,4,3,3,1,3,-1,5,5,5,1,37,1
2,2018,BRA,1,3,2,3,2,3,3,5,3,-2,2,31,1
2,2018,BRA,1,4,1,1,1,3,-1,4,5,5,2,29,1
2,2018,BRA,1,4,2,2,-1,1,1,4,5,10,1,30,1
2,2018,BRA,1,3,1,3,3,4,3,3,4,4,2,55,1
2,2018,BRA,1,3,1,1,1,1,1,-2,-2,-2,2,36,1
2,2018,BRA,2,4,4,4,3,4,4,1,5,8,2,55,1
2,2018,BRA,1,4,3,4,3,3,3,1,1,10,1,56,1
2,2018,BRA,1,3,2,3,2,3,2,5,5,1,2,22,1
2,2018,BRA,1,4,3,3,2,3,2,5,5,5,1,25,1
2,2018,BRA,-2,4,-2,-2,-2,-2,1,1,1,-1,2,40,1
2,2018,BRA,1,3,1,3,1,2,1,5,4,-2,2,29,1
2,2018,BRA,1,3,2,2,2,-1,1,1,1,-1,2,80,1
2,2018,BRA,1,4,-2,2,2,4,2,5,5,-2,2,36,1
2,2018,BRA,-1,4,4,3,2,3,-2,1,1,-1,1,43,1
2,2018,BRA,1,4,3,3,1,3,-1,1,1,-2,2,49,1
2,2018,BRA,1,4,3,3,2,3,3,1,1,-1,1,44,1
